cloud
0 3 a D D O b O O D j O O D 0 | 4a | Ba 0.22 Pu 0.11 U 0.11 N 0.56
1 2 b O O O c O O O 0 | 1d 1g 1a 1f | Al 0.25 Cu 0.25 Mo 0.5
1 6 a O D D a D O D b O O O c O O O d O O O e O O O 0 | 4a 8c 4b | Tm 0.25 U 0.5 Ti 0.25
0 2 b D O D c O D D 0 | 4a | H 0.33 W 0.02 C 0.37 N 0.05 Cl 0.05 O 0.05 F 0.14
0 6 a O D D a D O D b O O O c O O O d O O O l O O O 0 | 4a 4d 4b 4c | Na 0.25 Ag 0.25 Hg 0.25 Mo 0.25
1 3 b O O O g O O O c O O O 0 | 1a 1b 2f 1d | Be 0.2 Cr 0.2 In 0.4 Cl 0.2
0 6 a O D D a D O D b O O O c O O O d O O O l O O O 0 | 4d 4a 4c 4b | Na 0.25 Y 0.25 Al 0.25 W 0.25
1 6 a O D D a D O D b O O O c O O O d O O O e O O O 0 | 4a 8c 4b | Li 0.25 Ag 0.5 P 0.25
1 1 c O D D 0 | 4e | H 0.49 Rh 0.02 C 0.39 O 0.1
0 2 n O O O k O O O 0 | 1a 1b 1c | Nd 0.33 Ho 0.33 Pu 0.33
0 2 a D D O c O O O 0 | 4c 2a 2b | Ho 0.5 Tm 0.12 Sn 0.31 Sb 0.06
1 2 b D O O c O O O 0 | 4k 2a 2b 2e 2f 8l 4j | Ca 0.5 Se 0.5
1 3 b O O O g O O O c O O O 0 | 2f 1d 1b | Ag 0.5 Sb 0.25 W 0.25
0 3 a D D O b O O O j O O O 0 | 2a 2b | Al 0.5 V 0.25 Sb 0.25
0 6 a O D D a D O D b O O O c O O O d O O O l O O O 0 | 4a 4c 4d 4b | Zr 0.25 Tl 0.25 Ag 0.25 Mo 0.25
1 6 a O D D a D O D b O O O c O O O d O O O e O O O 0 | 4b 4a 8c | Tb 0.25 Zn 0.25 Cd 0.5
1 3 b O O O g O O O c O O O 0 | 2g 1d 1c | Sn 0.5 Te 0.25 Au 0.25
0 2 a D D O j O O O 0 | 4b 2a | Ce 0.55 Nd 0.03 Al 0.31 Zn 0.1
1 3 n O O O b O O D e O O O 0 | 12k 6h 2a 2c | Er 0.64 Sc 0.07 Cd 0.21 Ir 0.07
1 0 0 | 2i | H 0.36 C 0.48 S 0.03 N 0.09 Cl 0.03
0 1 j O O O 0 | 1a 1b | Co 0.25 Te 0.5 Ru 0.25
1 6 a O D D a D O D b O O O c O O O d O O O e O O O 0 | 4a 8c 4b 24e | Y 0.1 Tl 0.2 Ag 0.1 Br 0.6
1 2 b O O O c O O O 0 | 2q 1f 1h | Sr 0.5 Zr 0.25 Nb 0.25
1 3 b O O O g O O O c D D O 0 | 2a 4h 4g | Na 0.2 Ge 0.4 Pd 0.4
0 3 n O O O i O O O e O O O 0 | 3g 2c 6k 3f 6j 1a | Er 0.14 P 0.33 Ir 0.44 Os 0.08
1 0 0 | 2i | Cu 0.02 H 0.45 C 0.26 Se 0.03 S 0.06 O 0.09 F 0.09
1 6 a O D D a D O D b O O O c O O O d O O O e O O O 0 | 4a 4b 8c | Mg 0.25 Sn 0.25 As 0.5
1 3 b O O O g O O O c D D O 0 | 4h 4g 2a | K 0.4 P 0.4 Pt 0.2
0 1 j O O O 0 | 1b 2c | V 0.2 Ge 0.2 Te 0.6
0 3 a D D D b O O O j O O O 0 | 4d 2b 2a | Pr 0.07 Al 0.59 Re 0.04 Pt 0.3
1 3 a E C C n O O O e O O O 0 | 3a 6c 18h 9e | Gd 0.05 Er 0.2 Al 0.75
0 6 a O D D a D O D b O O O c O O O d O O O l O O O 0 | 4c 4b 4a 4d | Ba 0.25 La 0.25 Mn 0.25 Co 0.25
1 1 c O O O 0 | 1g 1a 1f 1e | La 0.25 V 0.5 Ga 0.25
0 0 0 | 1a | Tc 0.17 P 0.17 Os 0.17 H 0.17 S 0.17 N 0.17
1 3 b O O O g O O O c D D O 0 | 4h 2a 4g | Rb 0.4 In 0.2 Au 0.4
0 6 a O D D a D O D b O O O c O O O d O O O l O O O 0 | 4b 4a 4c 4d | Ca 0.25 Sn 0.25 Os 0.25 Pt 0.25
1 2 a D D O c O O O 0 | 4i 2c | Tb 0.29 Dy 0.29 Tm 0.29 In 0.14
0 3 n O O O i O O O e O O O 0 | 3g 2c 1b 3f | Yb 0.33 As 0.33 Ir 0.33
1 0 0 | 2i | H 0.46 C 0.43 O 0.04 F 0.07
0 2 a D D O j O O O 0 | 2a | Ti 0.25 Tl 0.25 Rh 0.5
0 3 n O O O i O O O k O O O 0 | 1b 1e 1d | Ba 0.33 B 0.33 As 0.33
1 3 b O O O g O O O c O O O 0 | 2f 1d 1a 1b | Mg 0.4 Tl 0.2 Rh 0.2 Pb 0.2
1 3 a D D D b O O O c O O O 0 | 2a 4i 4j 2d | Ba 0.1 Ce 0.4 Bi 0.5
1 6 a O D D a D O D b O O O c O O O d O O O e O O O 0 | 4b 4a 8c | Cs 0.25 Na 0.25 Sr 0.5
0 1 c O D O 0 | 2a | K 0.25 Yb 0.25 Se 0.25 O 0.25
0 7 a O D D a D O D b O D D c D D O d O O O e F B F h B B B 1 Z Z Z | 32e 48f 16d | Cr 0.33 Pd 0.67
1 3 b O O O g O O O c O O O 0 | 1b 1d 2f | Ti 0.25 In 0.25 W 0.5
1 4 b O O O c O O O d O O O e O O O 0 | 1a 3d 1b | Be 0.2 Al 0.6 Tc 0.2
0 2 a D D O j O O O 0 | 2a | Ge 0.33 Os 0.33 Au 0.33
0 3 b O O O c D D O h D D O 1 B B O | 4e 2a 2b | Pm 0.21 Zn 0.43 Pt 0.36
0 4 a D D D b O O O m O O O c D O F 0 | 8d 4a 4b | Mn 0.5 Ir 0.25 Ru 0.25
1 2 b D O D c O D D 0 | 8c | H 0.58 C 0.36 N 0.04 O 0.02
0 2 a E C C n O O O 0 | 9b 3a | Na 0.18 Ca 0.04 S 0.13 O 0.64
1 2 a D D O c O O O 0 | 4i 2a | Ti 0.33 Be 0.22 Ga 0.44
1 3 b O O O g O O O c O O O 0 | 1d 1c 2g | Tm 0.25 Al 0.25 Ni 0.5
0 4 a D D D b D D D g O D B h O D B 1 O Y Z | 16f | Bi 0.03 B 0.03 H 0.34 C 0.24 S 0.08 N 0.24 Cl 0.05
0 6 a O D D a D O D b O O O c O O O d O O O l O O O 0 | 4a 4d 16e | La 0.17 Hf 0.17 Be 0.67
0 5 a D D D b O O O c O O O d O O O l O O O 0 | 8c | B 0.5 Pt 0.5
1 2 a D D O c O O O 0 | 4i | Ba 0.4 Tl 0.4 Hg 0.2
0 6 a O D D a D O D b O O O c O O O d O O O l O O O 0 | 4b 4a 4c 4d | Nd 0.25 Eu 0.25 Ru 0.25 Au 0.25
1 2 a D D O c O O O 0 | 4h 8j 4i 2a | Pm 0.18 Sm 0.64 Ho 0.18
0 0 0 | 1a | In 0.8 Ga 0.2
1 1 c O D O 0 | 2e 4f | Pa 0.14 Mn 0.14 In 0.14 Se 0.57
1 2 n O O O e O O O 0 | 1b 2c 1a 2d | Li 0.1 Ti 0.3 Se 0.2 S 0.4
1 2 b O O O c O O O 0 | 1f 1a 1g 1d | Mg 0.25 Zr 0.5 Mn 0.25
1 3 a E C C n O O O e O O O 0 | 18h 6c 9e 9d 3b 3a | Er 0.5 Ge 0.19 Te 0.25 Rh 0.06
0 4 a D D D b D D D g O D B h O D B 1 O Y Z | 16f 4b | Tb 0.01 H 0.38 C 0.43 S 0.02 N 0.09 Cl 0.02 O 0.05
0 6 a O D D a D O D b O O O c O O O d O O O l O O O 0 | 4c 4b 4a 4d | Pm 0.25 Hg 0.25 P 0.25 Pd 0.25
